phi	theta	svalue
165	10	100
165	15	0.0848362257495591
165	20	-0.0624159964726632
165	25	-0.407310595238095
165	30	-0.510901568627451
165	35	-0.397851809497692
165	40	-0.338039772460655
165	45	-0.140960068912569
165	50	-0.10406224969475
165	55	0.0141169932246403
165	60	-0.0545879251098433
165	65	-0.124951244198162
165	70	-0.196621745287487
165	75	-0.173464005465379
165	80	-0.183019722381126
165	85	-0.206421940642167
165	90	-0.0446898414948707
165	95	0.0763949494949495
165	100	0.115455555555556
165	105	-0.0129666666666667
165	110	-0.0876
165	115	-0.0517407407407407
165	120	0.235103703703704
165	125	0.414281481481482
165	130	0.701155555555556
165	135	0.464725
165	140	0.128553676470588
165	145	-0.465594822303922
165	150	-0.47020258714597
165	155	-0.347995028909
165	160	-0.160755712925153
165	165	-0.243085312324722
165	170	-0.479551694091104
165	175	100
165	180	100
170	5	100
170	10	0.462188888888889
170	15	0.131331040564374
170	20	-0.144109832451499
170	25	-0.393295091442374
170	30	-0.474830407605877
170	35	-0.509468765359234
170	40	-0.634248222978909
170	45	-0.453783541736042
170	50	-0.26384998048248
170	55	-0.0131174715698245
170	60	-0.0803026776027208
170	65	-0.129206310919295
170	70	-0.186414801426609
170	75	-0.136988766851415
170	80	-0.109332344677607
170	85	-0.0619885600526464
170	90	-0.0144762139917695
170	95	-0.00422222222222222
170	100	-0.0354888888888889
170	105	-0.0667555555555556
170	110	-0.0876
170	115	-0.0697296296296296
170	120	0.10227037037037
170	125	0.137892592592593
170	130	0.2992
170	135	0.0731
170	140	-0.212333823529412
170	145	-0.649597426470588
170	150	-0.627729034690799
170	155	-0.413497214945357
170	160	-0.203996234553201
170	165	-0.153390590111643
170	170	-0.33887329687856
170	175	-0.54570745898838
170	180	100
175	5	100
175	10	0.335616666666667
175	15	-0.083862962962963
175	20	-0.414370502645503
175	25	-0.326834773982057
175	30	-0.246485129828099
175	35	-0.338622073440042
175	40	-0.671997364393051
175	45	-0.605248595848596
175	50	-0.335921844035594
175	55	-0.0796870203081232
175	60	-0.213275048210508
175	65	-0.252028841783493
175	70	-0.271047517475992
175	75	-0.124078424433526
175	80	-0.0678857882679483
175	85	-0.0165938554948391
175	90	0.00411555555555556
175	95	-0.0146444444444444
175	100	-0.0459111111111111
175	105	-0.0771777777777778
175	110	-0.0876
175	115	-0.10210962962963
175	120	-0.0736651851851852
175	125	-0.181598518518518
175	130	-0.131466666666667
175	135	-0.233044444444444
175	140	-0.259352287581699
175	145	-0.515274509803922
175	150	-0.583565962795375
175	155	-0.484661127176917
175	160	-0.264361127176917
175	165	-0.156037978279031
175	170	-0.304480208855472
175	175	-0.538380208855472
175	180	100
180	5	100
180	10	0.00754259259259257
180	15	-0.406901851851852
180	20	-0.484725048100048
180	25	-0.069765708325491
180	30	0.239279229946114
180	35	0.182354951446835
180	40	-0.326021728395062
180	45	-0.568937301587302
180	50	-0.595862743506494
180	55	-0.466522255291005
180	60	-0.516578433641975
180	65	-0.444308523511256
180	70	-0.336715216632949
180	75	-0.133084699657641
180	80	-0.0488483597883598
180	85	0.00272592592592593
180	90	0.000988888888888889
180	95	-0.0302777777777778
180	100	-0.0615444444444444
180	105	-0.0876
180	110	-0.0876
180	115	-0.163952839506173
180	120	-0.243175061728395
180	125	-0.351108395061728
180	130	-0.365288888888889
180	135	-0.3128
180	140	-0.257455555555556
180	145	-0.275451851851852
180	150	-0.27149886039886
180	155	-0.283360598076388
180	160	-0.210808746224536
180	165	-0.280787769423559
180	170	-0.400115714285714
180	175	-0.598037936507936
180	180	100
185	5	100
185	10	-0.262542777777778
185	15	-0.506832222222222
185	20	-0.299990101010101
185	25	0.275616936026936
185	30	0.625832491582492
185	35	0.426565117845118
185	40	-0.219474141414141
185	45	-0.681406998556999
185	50	-0.860832440476191
185	55	-0.806701267636684
185	60	-0.76849112654321
185	65	-0.641203024691358
185	70	-0.445845308641975
185	75	-0.210654259259259
185	80	-0.0599916666666667
185	85	0.00110833333333333
185	90	-0.00943333333333333
185	95	-0.0407
185	100	-0.0719666666666667
185	105	-0.0876
185	110	-0.0876
185	115	-0.178943580246914
185	120	-0.286876913580247
185	125	-0.39481024691358
185	130	-0.357911111111111
185	135	-0.230311111111111
185	140	-0.0911111111111111
185	145	-0.0672486772486773
185	150	-0.0787146494708995
185	155	-0.206544808201058
185	160	-0.247918353174603
185	165	-0.415393564213564
185	170	-0.547161024531025
185	175	-0.709105468975469
185	180	100
190	5	100
190	10	-0.293226111111111
190	15	-0.244171111111111
190	20	0.137937676767677
190	25	0.589072491582492
190	30	0.673623602693603
190	35	0.246337037037037
190	40	-0.424917037037037
190	45	-0.910425925925926
190	50	-1.15161481481481
190	55	-1.10717086419753
190	60	-0.976737530864198
190	65	-0.799822345679012
190	70	-0.572762592592593
190	75	-0.32626537037037
190	80	-0.107580555555556
190	85	-0.0124694444444444
190	90	-0.0146444444444444
190	95	-0.0459111111111111
190	100	-0.0771777777777778
190	105	-0.0876
190	110	-0.0876
190	115	-0.153934027777778
190	120	-0.269576884920635
190	125	-0.391001884920635
190	130	-0.319628571428571
190	135	-0.185568253968254
190	140	-0.046368253968254
190	145	0.0122513227513228
190	150	0.00801868386243387
190	155	-0.124317824074074
190	160	-0.269569146825397
190	165	-0.468500865800866
190	170	-0.579054834054834
190	175	-0.705021500721501
